"inquiries_lead_template_id","inquiries_lead_template_name","inquiries_lead_template_subject","inquiries_lead_template_message","inquiries_lead_template_sort","inquiries_lead_template_type","inquiries_lead_template_realestate","site_id"
"1","Website Follow Up Script","Website Follow Up Script","<p>This is {agent name} with {agent's company}. We noticed that you visited the website, and were searching homes in the area. Anyway, this is a customer service follow up call to make sure you were able to find your way around the site and to answer any questions you might have. For example, many of our visitors have a little trouble navigating the MLS. </p><p>Is there anything I can do to help? </p><p>I also wanted to let you know of a new service offered by the MLS that a lot of people don't know about. We can actually set you up to receive emails of listings that fit your criteria as soon as they come on the market so that you are able to look before most people even know they are on the market and you don't have to visit the web site again and again. The cool part is you don't have to be tied into a Realtor to use it. Would you be interested in that?<br> <br>(If \"No, not now\"...) <br>Ok great. We want you to feel welcome to come back to the website to help you in your search, and we'd also love for you to call us with any questions you may have or for any assistance you might need.</p><p>(If \"Yes\", set up listings by email.)<br>Oh this (their dream home description) sounds nice! I'll bet it won't be any trouble at all for you to find a home like you're describing.</p><p>Thank you so much for speaking with me today. Feel free to call us here if you need anything at all, ok? Bye!</p>","0","2","1","0"
"3","Voicemail - No Message","Voicemail - No Message","<p>Got voicemail. Did not leave a message.</p>","0","1","0","0"
"4","Spoke with them","Spoke with them","","0","1","0","0"
"5","Voicemail - Left Message","Voicemail - Left Message","","0","1","0","0"
"6","Talked","Talked","","0","1","0","0"
"9","Follow up call competed","Follow up call competed","","0","1","0","0"
"10","Criteria is set up on MLS","Criteria is set up on MLS","","0","1","1","0"
"11","Gave Lead Out","Gave Lead Out","","0","1","0","0"
"12","Bad phone number","Bad phone number","","0","1","0","0"
"13","CMA Follow-up","CMA Follow-up","<p>We wanted to drop you this quick note to let you know that we received your request to prepare a market valuation for your property. We are currently gathering data, using the information you submitted, and will be trying to select comparable properties that have sold recently, as reported in the Multiple Listing Service (MLS). </p><p>We hope to finish the research within 24-48 hours and then contact you to review the results. After speaking briefly with you, we should be able to narrow down the valuation so as to be fairly accurate. In some cases it may be necessary for one of us to do a brief site inspection prior to finishing your valuation, but we will cross that bridge when and if we get to it.</p><p>Thanks for this opportunity to be of service. We look forward to talking to you soon.</p>","0","2","1","0"
"14","CMA Follow-up (already listed)","CMA Follow-up (already listed)","<p>I wanted to let you know that while gathering the necessary information to prepare your market valuation, I found that your home is currently listed with another agent. While I am happy to prepare the market valuation you requested, professional standards won't allow me to offer additional help or assistance while you are under contract with that other agent. I hope you understand.</p><p>Nevertheless, I hope to finish your research within 24-48 hours and contact you to review the results. After briefly speaking we should be able to narrow the valuation down so as to be fairly accurate. In some cases it may be necessary for me to do a brief site inspection prior to finishing your valuation, but we will cross that bridge when and if we get to it.</p><p>Thanks for this opportunity to be of service. I look forward to talking to you soon.</p>","0","2","1","0"
"15","CMA Follow-up (not the owner)","CMA Follow-up (not the owner)","<p>We wanted to drop you this quick note to let you know that, while gathering the information necessary for preparing your market valuation, we found that the tax records are listing someone other than you as the owner. Don't worry! Sometimes the tax records aren't up to date, or information is improperly listed. I simply thought that it would be a good idea to let you know. </p><p>By the way, if you aren't the owner but might be interested in buying this property, we are still willing to help you with the valuation. You may not be aware that, because we are buyer representatives, our services are free to our buyer clients. However, it's important to know whether we are trying to find you the most value possible (as a seller) or to protect you (as a buyer) from overpaying for the home. Either way, we are happy to help, but we need to understand your interest in the valuation.</p><p>Thanks for this opportunity to be of service. We look forward to talking with you soon.</p>","0","2","1","0"
